Grid,C-1,C-3,C-5,C-7,C-9,C-11,C-13,C-15,C-17,C-19,C-21,C-23,C-25,C-27,ROW,,,
Hold #,1573,1324,1143,1061,1397,1069,D226,1136,D227,D201,1149,1057,1711,1715,R-34,,,
Angle,215˚,175˚,195˚,190˚,180˚,130˚,260˚,155˚,190˚,135˚,160˚,175˚,190˚,160˚,R-34,,, Denotes a set screw orientation
Hold #,1720,1670,D199,1463,1139,1361,1060,1146,1068,1402,1135,1192,1327,1667,R-32,,,
Angle,120˚,230˚,175˚,145˚,150˚,180˚,110˚,215˚,205˚,210˚,220˚,150˚,240˚,145˚,R-32,,,
Hold #,1699,1717,D225,1453,1401,1063,D224,D200,1392,1065,1365,1459,1663,1577,R-30,,,
Angle,270˚,205˚,275˚,145˚,25˚,160˚,70˚,320˚,130˚,140˚,145˚,240˚,220˚,165˚,R-30,,,
Hold #,1579,1668,D207,1197,D204,1467,D206,1405,D197,1408,1059,1391,1693,1580,R-28,,,
Angle,190˚,20˚,118˚,200˚,255˚,300˚,90˚,235˚,30˚,95˚,120˚,180˚,160˚,190˚,R-28,,,
Hold #,1661,D217,1399,D193,D222,D195,1464,1452,1406,D208,1394,1140,D211,1697,R-26,,,
Angle,185˚,195˚,180˚,175˚,85˚,155˚,180˚,10˚,135˚,200˚,255˚,300˚,25˚,160˚,R-26,,,
Hold #,1666,1574,1131,1195,D229B,1398,1454,1193,1067,1393,D192,D229,1681,D220,R-24,,,
Angle,125˚,195˚,180˚,190˚,250˚,180˚,150˚,165˚,275˚,180˚,355˚,100˚,150˚,165˚,R-24,,,
Hold #,D218,1682,1461,1053,1196,1460,1142,D203,1147,D225B,1409,1056,D213,1698,R-22,,,
Angle,270˚,190˚,210˚,130˚,175˚,90˚,180˚,180˚,180˚,185˚,110˚,240˚,5˚,165˚,R-22,,,
Hold #,D212,1713,1052,1410,D198,1462,1451,D230,1066,1200,D202,1400,D216,1572,R-20,,,
Angle,165˚,200˚,165˚,225˚,355˚,135˚,220˚,325˚,270˚,180˚,215˚,180˚,160˚,260˚,R-20,,,
Hold #,1664,D215,1144,1458,1396,D227B,D221,D221B,D223,D191,1466,D194,1575,1669,R-18,,,
Angle,215˚,75˚,160˚,150˚,220˚,290˚,85˚,145˚,120˚,345˚,160˚,25˚,195˚,145˚,R-18,,,
Hold #,1692,1700,1070,1363,D210,1404,1054,1470,1064,1370,1132,1403,1665,D219,R-16,,,
Angle,185˚,260˚,205˚,190˚,290˚,205˚,160˚,265˚,160˚,125˚,105˚,225˚,215˚,230˚,R-16,,,
Hold #,1712,1683,1141,D230B,D228,1051,1465,D196,1407,D205,1198,1457,1686,1714,R-14,,,
Angle,135˚,165˚,115˚,185˚,95˚,240˚,110˚,335˚,175˚,130˚,160˚,235˚,230˚,170˚,R-14,,,
Hold #,1719,1576,1134,1369,1137,1362,D224B,1468,D226B,1150,1455,1148,1571,1694,R-12,,,
Angle,180˚,220˚,225˚,195˚,135˚,250˚,5˚,230˚,305˚,205˚,180˚,175˚,280˚,195˚,R-12,,,
Hold #,1578,1691,1199,1456,1191,1062,1367,1055,1194,1133,1368,D222B,1662,1716,R-10,,,
Angle,150˚,200˚,150˚,125˚,225˚,235˚,185˚,60˚,165˚,140˚,340˚,90˚,215˚,155˚,R-10,,,
Hold #,D214,1695,1138,1364,D223B,1366,D209,1469,D228B,1395,1058,1145,1718,1696,R-8,,,
Angle,50˚,180˚,175˚,45˚,120˚,250˚,250˚,195˚,150˚,220˚,270˚,175˚,215˚,150˚,R-8,,,
10x10 Above,,,,,,,,,,,,,,,,,,
8x12 Additions Below,,,,,,,,,,,,,,,,,,
Hold #,1739,1732,1623,1564,1556,1562,1560,1566,1552,1567,1551,1561,1737,1330,R-6,,,
Angle,245˚,155˚,120˚,195˚,110˚,185˚,160˚,10˚,135˚,245˚,200˚,280˚,190˚,260˚,R-6,,,
Hold #,1329,1733,1613,1554,1615,1555,1568,1553,1569,1625,1563,1622,1734,1735,R-4,,,
Angle,100˚,130˚,180˚,150˚,160˚,0˚,75˚,290˚,140˚,180˚,20˚,215˚,225˚,210˚,R-4,,,
Hold #,1740,1736,1558,1614,1621,1612,1559,1570,1624,1565,1557,1611,1731,1738,R-2,,,
Angle,255˚,160˚,145˚,55˚,335˚,270˚,5˚,5˚,135˚,220˚,5˚,260˚,210˚,225˚,R-2,,,
Kickboard Below,,,,,,,,,,,,,,,,,,
Hold #,D133,D137,D286,D282,D289,D284,D290,D288,D281,D287,D283,D285,D138,D135,K-2,,,
Angle,230˚,215˚,150˚,150˚,180˚,170˚,55˚,115˚,260˚,295˚,90˚,185˚,155˚,150˚,K-2,,,
